anxious	57
beautiful	18
green	21
doctor	60
intelligent	76
CapableOf_provide_comfort	5
vibrant	18
sweet	20
loud	19
RelatedTo_design	0
green	21
square	25
weekend	55
smooth	17
sweet	20
fluffy	17
cold	32
sweet	23
wood	16
yellow	21
smooth	14
tangy	24
short	50
comfortable	14
windy	33
hot	34
square	25
sweet	23
slow	40
used for gardening	12
chair	73
messy	18
found on a farm	11
tall	30
made of metal	16
surprised	57
high	19
hot	32
excited	14
rough	17
evening	55
inside	85
red	21
found in a bakery	11
hot	33
beside	85
solid	37
slow	44
round	25
prickly	18
cool	32
savory	24
found in the forest	11
soft	16
soft	13
running	56
petite	18
blue	22
fast	42
hot	31
cloudy	33
cologne	98
jumping	56
rough	51
IsA_fortification	2
young	58
bright	63
rough	51
hot	31
triangular	25
fast	42
cold	32
floral	28
AtLocation_waterfall	4
slow	42
used for communication	12
located in the bedroom	11
eating	56
climbing	56
blue	22
warm	14
inside	85
bicycle	40
rough	51
sweet	24
black	22
fragrant	20
soft	14
sour	20
hot	14
square	25
alarm clock	55
aquatic	27
metal	16
tall	30
used for writing	12
smooth	18
soft	17
transparent	18
backward	52
unpleasant	20
crawling	42
rough	17
liquid	38
used for transportation	26
AtLocation_zoo	4
tall	30
smooth	18
prickly	14
bicycle	40
swimming	42
artist	60
green	22
rough	18
reading	56
salty	24
RelatedTo_portrait	0
hot	31
rough	51
smooth	51
hard	17
soft	14
sour	24
sharp	17
soft	16
pungent	20
sour	23
loud	13
sweet	20
sour	24
soft	14
big	30
tall	50
used for cleaning	12
rectangular	25
wings	40
electronic	10
hard	10
hot	34
vehicle	10
square	25
vibrant	18
hiking	56
cold	34
square	25
metal	16
running	56
soft	10
soft	10
short	50
soothing	19
earthy	20
soft	19
square	25
rhythmic	13
made of fabric	16
morning	55
InstanceOf_subsidiary	8
teacher	60
architect	60
rough	18
slimy	18
high	19
black	22
dim	63
rough	51
tropical	36
RelatedTo_seasons	0
metal	16
running	56
used for writing	12
round	10
anxious	57
surprised	57
drinking glass	96
used for exercise	12
short	50
transparent	10
pink	22
beach	11
spicy	20
peaceful	13
rough	17
sea creatures	27
spicy	23
fast	44
dim	63
fruity	20
IsA_obstruction	2
sweet	20
made of wood	16
triangle	25
flowering	47
smooth	51
sticky	17
RelatedTo_phthisis	0
reptile	61
RelatedTo_mathematics	0
soft	10
male	86
square	25
fast	42
big	30
soft	10
smooth	18
used for transportation	26
swimming	42
fluffy	18
dim	63
spicy	23
used for keeping time	12
dull	59
red	22
used for writing	12
found in the forest	11
old	58
round	10
night	55
rough	18
used for communication	26
IsA_domestic_fowl	2
made of wood	16
savory	23
domestic	27
RelatedTo_truck	0
sad	57
smooth	14
dull	21
tall	47
found in the forest	11
soft	16
tall	30
used for communication	12
running	56
savory	24
used for listening	12
morning	55
spicy	24
smooth	14
dancing	56
metal	16
used for cooking	12
swinging	56
unpleasant	20
soft	13
soft	17
white	22
made of glass	16
cold	14
spicy	23
hot	32
afternoon	55
black	21
savory	24
tiny	18
