sack	IsA_jacket	1
provider	RelatedTo_service	1
dispassionate	RelatedTo_emotion	1
plane	RelatedTo_airplane	1
splice	RelatedTo_pharmacy	0
pasteurellosis	RelatedTo_infection	1
underdo	RelatedTo_stadium	0
splitter	HasProperty_soft	0
accidentalism	AtLocation_neighborhood	0
perry	AtLocation_museum	0
sennit	InstanceOf_album	0
satellite	RelatedTo_moon	1
lymphotomy	RelatedTo_communication	0
fulguration	RelatedTo_scooter	0
fencing	UsedFor_exercise	1
vocational	RelatedTo_discuss	0
ontology	RelatedTo_theory	1
paracme	RelatedTo_fever	1
art	RelatedTo_dance	1
mahar	RelatedTo_marriage	1
saprolite	RelatedTo_piano	0
message	RelatedTo_transmit	1
exchequer	HasProperty_bad	0
oligarchy	UsedFor_research	0
geochronology	RelatedTo_dating	1
nineholes	UsedFor_travel	0
ornament	RelatedTo_service	1
tuberculin	RelatedTo_diagnosis	1
homework	RelatedTo_teacher	1
pygalgia	RelatedTo_pain	1
pentathlete	RelatedTo_athlete	1
tribromoethanol	RelatedTo_hotel	0
hunt	UsedFor_research	0
apple	AtLocation_grocery_store	1
seat	RelatedTo_airplane	1
toast	UsedFor_playing_games	0
stale	RelatedTo_marriage	1
follow	RelatedTo_ball	1
reed	RelatedTo_subject	0
myalgia	RelatedTo_pain	1
mem	IsA_chart	0
stanchion	UsedFor_sit_in	0
histotrophy	RelatedTo_nutrition	1
mixture	RelatedTo_cake	1
experience	HasProperty_cold	0
subhealth	RelatedTo_disease	1
justice	RelatedTo_justice	1
revolt	RelatedTo_war	1
walking	UsedFor_exercise	1
center	RelatedTo_marriage	0
cardinal	AtLocation_house	0
gym	RelatedTo_gymnastics	1
keel	AtLocation_university	0
patavinity	RelatedTo_genetics	0
landscape	RelatedTo_plants	1
farm	IsA_pond	0
imputation	RelatedTo_wizardry	0
counterpoint	RelatedTo_fever	0
nosopoetic	UsedFor_storage	0
overt	HasProperty_bad_for_health	0
overexertion	UsedFor_making_money	0
multinational	RelatedTo_company	1
turnpike	UsedFor_transportation	1
golf	RelatedTo_golf	1
hieroglyphic	RelatedTo_civilization	1
welfare	RelatedTo_support	1
story	RelatedTo_literature	1
herringer	RelatedTo_boat	1
cyathophylloid	RelatedTo_family	1
hydrozoan	AtLocation_hardware_store	0
adverbial	RelatedTo_phrase	1
garland	RelatedTo_job	0
politicomania	RelatedTo_compromise	0
impale	RelatedTo_hotel	0
royal	RelatedTo_kingdom	1
bureau	RelatedTo_cloud	0
tin	AtLocation_hardware_store	1
portmanteau	RelatedTo_lobbying	0
hutch	RelatedTo_valley	0
bunker	IsA_fortification	1
speech	RelatedTo_public	1
stadium	RelatedTo_baseball	1
prothalamion	RelatedTo_song	1
waste	RelatedTo_desert	1
soothe	AtLocation_drawer	0
urbanism	RelatedTo_culture	1
upstream	HasA_kids	0
isagogics	AtLocation_maine	0
betterness	UsedFor_making_music	0
firedog	RelatedTo_scooter	0
chromophotographic	AtLocation_america	0
hain	RelatedTo_stars	0
wrench	HasProperty_true	0
suburban	RelatedTo_traffic_light	0
father	RelatedTo_family	1
average	RelatedTo_service	1
sentential	RelatedTo_gymnastics	0
motel	RelatedTo_highway	1
spurtle	RelatedTo_kitchen	1
pool	UsedFor_drinking	1
numbness	RelatedTo_emotion	1
adaptation	AtLocation_museum	0
disk	UsedFor_storing_information	1
zebra	RelatedTo_crosswalk	1
zoccolo	RelatedTo_hill	0
dower	HasProperty_entertaining	0
gone	RelatedTo_powerless	0
santal	RelatedTo_family	1
autostarter	RelatedTo_device	1
shareholder	UsedFor_making_music	0
hemp	UsedFor_looking_good	0
tringle	RelatedTo_truck	1
game	RelatedTo_party	1
cumuliform	RelatedTo_cloud	1
toponymical	RelatedTo_island	0
stove	RelatedTo_oven	1
consortism	RelatedTo_relationship	1
padding	AtLocation_carpet	1
logomania	RelatedTo_travel	0
anaplerotic	RelatedTo_tableware	0
set	RelatedTo_dish	1
wine	RelatedTo_environment	0
lintel	HasProperty_annoying	0
sustentacular	HasProperty_true	0
dosis	RelatedTo_support	0
cataphysical	RelatedTo_ambulance	0
drill	RelatedTo_exercise	1
daughter	RelatedTo_relationship	1
fishing	RelatedTo_boat	1
ketchup	HasProperty_singing_in_choir	0
hovel	RelatedTo_expression	0
plage	AtLocation_drive_in_movie	0
strickle	AtLocation_austria	0
beehive	RelatedTo_hat	1
insectologer	AtLocation_military_base	0
portraitist	RelatedTo_affection	0
trance	FormOf_bad	0
clivus	UsedFor_exercise	0
split	AtLocation_fork_in_road	1
directorially	AtLocation_bedroom	0
char	RelatedTo_field	1
studentship	CapableOf_fall_down	0
meterman	RelatedTo_photography	0
inferentialism	RelatedTo_expression	1
museum	AtLocation_europe	1
minder	UsedFor_exercising	0
tincture	RelatedTo_medicine	1
dessertspoon	IsA_implement	0
trick	RelatedTo_game	1
observationalism	RelatedTo_siblings	0
patriarchy	RelatedTo_authority	1
goal	RelatedTo_field	1
poison	RelatedTo_food	1
beknottedness	RelatedTo_justice	0
jar	AtLocation_pantry	1
telautogram	RelatedTo_message	1
juggler	RelatedTo_write	0
clima	RelatedTo_weather	1
fons	RelatedTo_field	1
loreless	RelatedTo_learning	1
operation	RelatedTo_treatment	1
aesthetics	RelatedTo_study	1
deva	RelatedTo_flight_attendant	0
receiver	RelatedTo_startup	0
cheerleader	RelatedTo_event	1
stove	RelatedTo_colonial	0
patas	RelatedTo_game	1
moment	RelatedTo_single	1
lode	RelatedTo_mountain	1
disimagine	HasProperty_cold	0
remediation	UsedFor_having_fun	0
bobo	AtLocation_shelf	0
ward	AtLocation_rest_area	0
bord	UsedFor_walking	0
embryocardia	UsedFor_exercising	0
locker	UsedFor_meeting_people	0
poem	FormOf_ask	0
rendible	RelatedTo_tablet	0
extension	RelatedTo_software	1
homogamy	IsA_female_animal	0
insurance	RelatedTo_security	1
desertion	RelatedTo_dinner	0
floss	UsedFor_having_good_time	0
cubicle	AtLocation_norway	0
